,1999/2000,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Administrative services,0.00,14314.00,17007.80,16826.00,19891.60,21947.10,23557.50,27866.70,27072.10,42171.90,81083.20,69489.40,54834.90,55595.70,59552.40,63314.90,66770.20,69446.10,80360.50,71263.00,75061.40,78842.20,112752.20,88576.00,87826.60
Economic services,0.00,5017.40,5825.20,6839.00,8111.10,9924.10,14328.60,17460.90,25500.90,25902.70,28125.60,26185.80,30425.40,36344.90,38868.90,40422.60,65385.30,44746.90,44599.90,53183.50,106056.40,120169.20,89035.20,84932.70,52821.20
Social services,0.00,16800.50,21650.10,52064.00,63646.80,74846.70,85178.80,97815.80,115970.90,133462.10,147708.60,162797.90,188137.70,205405.50,219246.50,240879.30,257829.10,279994.90,301991.70,342042.80,390815.40,424900.90,451884.50,475245.20,489841.70
Justice and protection services,0.00,37917.20,44224.40,52079.90,56054.70,59991.00,68750.70,72722.00,81287.80,92204.00,104115.90,111296.40,122202.40,133311.80,144109.00,152504.10,160964.10,169532.80,179104.50,184262.70,194769.50,197645.90,198561.20,209756.50,211294.90
Urban development and infrastructure,0.00,15166.20,19156.00,23012.00,27153.60,32014.70,38664.80,52889.40,67680.90,86023.30,92143.40,104843.40,128223.50,135975.80,148301.80,160059.10,178378.60,184474.20,194907.50,203717.50,213976.40,214144.90,222140.40,271319.10,261210.30
Provincial equitable share,0.00,98397.80,107460.30,93895.30,107538.40,120884.50,135291.60,149245.60,171053.70,201795.60,236890.80,265139.40,289627.60,310740.70,336495.30,359921.80,386500.00,410698.60,441331.10,470286.50,505553.80,520717.00,544834.90,570868.20,585085.90
Debt-service costs,0.00,46320.90,47580.70,46807.70,46312.90,48851.20,50912.00,52192.20,52877.10,54393.70,57129.20,66226.80,76460.00,88121.10,101184.70,114798.40,128795.60,146496.70,162644.60,181849.10,204769.40,232595.70,268071.60,308459.10,356140.90
Total,0.00,233934.00,262904.50,291524.00,328709.20,368459.40,416684.00,470192.50,541443.40,635953.30,747196.80,805979.10,889911.50,965495.60,1047758.60,1131900.10,1244622.90,1305390.10,1404939.90,1506605.20,1691002.20,1789015.80,1887279.90,2009156.80,2044221.60
Economic classification,,,,,,,,,,,,,,,,,,,,,,,,,
Current payments,0.00,87307.30,94206.20,99930.20,104299.80,110748.30,120487.50,130103.70,141389.10,157626.10,174052.40,197385.70,226602.80,250421.10,280286.20,302322.40,328171.30,359886.60,385283.20,415149.10,453493.20,474349.70,527848.70,575493.80,625813.30
Compensation of employees,0.00,28850.40,31974.90,35699.90,38523.60,40192.40,44316.00,49574.20,56221.90,64819.20,75276.30,86894.00,100643.50,110683.60,120620.40,129542.20,136387.30,147435.60,156613.90,165433.40,176204.60,176391.50,181623.00,188554.30,190659.20
Goods and services,0.00,12104.30,14619.40,17388.60,19428.70,21702.70,25243.50,28335.80,32272.10,38378.20,41491.10,43934.50,49406.50,51523.50,58423.70,57878.50,62873.40,65837.90,65864.60,67689.60,72326.90,65153.00,77806.70,78207.80,78778.10
Interest and rent on land,0.00,46352.60,47611.90,46841.60,46347.50,48853.20,50928.00,52193.70,52895.10,54428.70,57285.00,66557.20,76552.80,88214.00,101242.10,114901.80,128910.60,146613.00,162804.70,182026.00,204961.70,232805.20,268418.90,308731.60,356376.00
Transfers and subsidies,0.00,144061.10,163852.90,187239.50,219891.50,251746.50,288965.80,332685.10,391929.90,458702.40,530527.20,575110.10,648549.00,696421.80,749484.10,808095.10,868300.10,923264.50,985434.30,1062572.20,1160361.00,1213017.90,1271277.10,1349450.60,1399122.30
Provinces and municipalities,0.00,115010.40,128269.70,116059.20,134845.50,152454.40,171195.50,205438.30,243233.60,289395.90,344774.60,383780.00,424135.20,457167.30,493472.00,527542.40,570140.00,603420.80,649928.60,690730.20,736737.90,766118.20,796719.30,845213.80,864402.20
Departmental agencies and accounts,0.00,16203.50,19970.80,24813.80,27132.50,29171.30,37536.70,38102.10,44609.00,53724.90,57396.40,55612.50,73980.70,74980.70,79497.30,86295.30,91580.00,97673.10,102982.00,117582.80,133368.00,133699.40,145765.20,156450.90,169967.00
Higher education institutions,0.00,6634.70,7091.60,7528.50,8382.90,9328.40,9784.20,11056.00,12004.10,13897.70,15443.50,17726.20,19539.80,21120.70,22507.00,24437.70,26521.70,28163.60,31589.90,41191.40,47568.40,48644.30,48476.90,52122.60,49381.20
Foreign governments and international organisations,0,407.4,334.5,700.8,795.7,680.3,858,919.3,935.6,1010.60,1366.40,1233.70,1309.90,1396.30,1934.10,1803.00,1932.90,2205.00,1971.10,2345.50,2467.20,2227.10,2952.80,3253.10,3289.10
Public corporations and private enterprises,0.00,4141.60,5874.00,7267.40,7971.00,9951.80,12551.30,13424.40,19485.70,19982.30,20235.40,20058.20,22452.60,25030.10,28001.30,32147.00,35894.70,36782.00,32505.30,32910.00,35702.50,27298.20,38018.30,41852.70,42252.20
Non-profit institutions,0,170.8,291.3,325.8,485,580.7,850.4,882.1,1006.70,1212.20,1151.40,1128.50,2013.40,2413.00,2930.60,3207.70,3465.00,3874.20,4266.40,3043.10,3206.10,2728.50,3157.20,3296.10,3520.50
Households,0.00,1492.70,2021.00,30543.90,40278.80,49579.60,56189.60,62862.90,70655.20,79478.90,90159.40,95571.00,105117.50,114313.80,121141.70,132662.00,138765.80,151145.80,162191.10,174769.20,201310.90,232302.10,236187.50,247261.40,266310.00
Payments for capital assets,0.00,2486.40,4510.50,4272.50,4383.70,5344.70,6983.70,6067.80,7018.50,8652.10,9453.90,11406.90,11957.10,13876.10,14002.70,16200.60,18276.30,15598.50,15232.90,14357.90,12107.90,12001.60,14253.40,16431.30,16658.70
Buildings and other fixed structures,0.00,1247.90,2344.80,2194.60,2206.20,2626.90,2882.40,2481.50,3631.30,5331.60,5843.60,5943.10,7033.50,8590.50,8853.60,10874.80,13525.70,10908.30,9995.90,9511.40,7581.60,7243.40,8788.40,9126.40,11006.20
Machinery and equipment,0.00,1175.10,2126.80,2043.10,2157.60,2643.80,3834.50,3322.80,3161.50,3010.80,3152.50,4265.00,4320.70,5103.00,4890.20,4875.00,4371.40,3718.00,4636.20,4272.40,3940.80,4239.70,4424.70,4998.20,5025.60
Heritage assets,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.2,0,0.1,137.9,104.4,98.3,43.4,68.8,52.3,83.6,21.3,270.8,108
Specialised military assets,0,0,0,0,0,0,0,0,0,0,0,7.6,0,22.6,0.2,4.4,58.1,7.6,0,0,0,0,0,0,6.6
Biological assets,0,0.1,0.1,0.1,0.1,0.3,0.2,0.7,10.6,2.7,2.1,2.1,3.4,6.2,4.8,3.4,6.6,7.2,8.8,10.1,4.5,5.1,8.9,7.6,11.2
Land and sub-soil assets,0,36.7,0.1,17.1,1.3,0,0,31.5,27.4,49,83.9,772.4,132,91.8,58.2,226.7,90.6,104.4,111.1,25.3,72.9,27.2,616.5,1302.80,296.8
Software and other intangible assets,0,26.6,38.7,17.7,18.6,73.7,266.7,231.4,187.7,258,371.6,416.6,467.2,61.9,195.5,78.4,119.4,754.7,437.4,469.9,455.8,402.6,393.6,725.5,204.3
Payments for financial assets,0,79.3,335,81.8,134.2,619.9,247,1335.80,1105.90,10972.60,33163.30,22076.50,2802.50,4776.50,3985.60,5282.00,29875.20,6640.50,18989.50,14526.00,65040.10,89646.60,73900.70,67781.10,2627.30
Payments for financial assets,0,79.3,335,81.8,134.2,619.9,247,1335.80,1105.90,10972.60,33163.30,22076.50,2802.50,4776.50,3985.60,5282.00,29875.20,6640.50,18989.50,14526.00,65040.10,89646.60,73900.70,67781.10,2627.30
Total,0.00,233934.00,262904.50,291524.00,328709.20,368459.40,416684.00,470192.50,541443.40,635953.30,747196.80,805979.10,889911.50,965495.60,1047758.60,1131900.10,1244622.90,1305390.10,1404939.90,1506605.20,1691002.20,1789015.80,1887279.90,2009156.80,2044221.60
